
id,query,answer
site-pksaa-overview,Τι είναι ο Π.Κ.Σ.Α.Α.;,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,ΠΚΣΑΑ,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,Π.Κ.Σ.Α.Α.,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,συνεταιρισμός,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,συνεταιρισμος,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,synetairismos,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,sinetairismos,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,synetairismos astynomikon,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,sinetairismos astinomikon,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,τι είναι ο συνεταιρισμός αστυνομικών,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,τι ειναι ο συνεταιρισμος αστυνομικων,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
site-pksaa-overview,ti einai o synetairismos astynomikon,"Ο Π.Κ.Σ.Α.Α. είναι ο Προμηθευτικός και Καταναλωτικός Συνεταιρισμός Αστυνομικών Αττικής.
Η ιστοσελίδα συγκεντρώνει επίσημες προσφορές και παροχές για τα μέλη, όπως κινητή, σταθερή, internet, τηλεόραση και συνεργαζόμενες υπηρεσίες."
